sku,url_key
MH01,chaz-kangeroo-hoodie
MH02,teton-pullover-hoodie
MH03,bruno-compete-hoodie
MH04,frankie-sweatshirt
MH05,hollister-backyard-sweatshirt
MH06,stark-fundamental-hoodie
MH07,hero-hoodie
MH08,oslo-trek-hoodie
MH09,abominable-hoodie
MH10,mach-street-sweatshirt
MH11,grayson-crewneck-sweatshirt
MH12,ajax-full-zip-sweatshirt
MH13,marco-lightweight-active-hoodie
MJ01,beaumont-summit-kit
MJ02,hyperion-elements-jacket
MJ04,kenobi-trail-jacket
MJ07,orion-two-tone-fitted-jacket
MJ08,lando-gym-jacket
MJ09,taurus-elements-shell
MJ10,mars-heattech-trade-pullover
MJ11,typhon-performance-fleece-lined-jacket
MJ06,jupiter-all-weather-trainer
MJ03,montana-wind-jacket
MJ12,proteus-fitness-jackshirt
MS04,gobi-heattec-reg-tee
MS05,helios-evercool-trade-tee
MS09,ryker-lumatech-trade-tee-crew-neck
MS11,atomic-endurance-running-tee-v-neck
MS12,atomic-endurance-running-tee-crew-neck
MS03,balboa-persistence-tee
MS06,zoltan-gym-tee
MS01,aero-daily-fitness-tee
MS02,ryker-lumatech-trade-tee-v-neck
MS10,logan-heattec-reg-tee
MS07,deion-long-sleeve-evercool-trade-tee
MS08,strike-endurance-tee
MT01,erikssen-cooltech-trade-fitness-tank
MT02,tristan-endurance-tank
MT03,primo-endurance-tank
MT04,helios-endurance-tank
MT05,rocco-gym-tank
MT06,vulcan-weightlifting-tank
MT07,argus-all-weather-tank
MT08,sparta-gym-tank
MT09,sinbad-fitness-tank
MT10,tiberius-gym-tank
MT11,atlas-fitness-tank
MT12,cassius-sparring-tank
MP01,caesar-warm-up-pant
MP02,viktor-lumatech-trade-pant
MP03,geo-insulated-jogging-pant
MP04,supernova-sport-pant
MP05,kratos-gym-pant
MP06,mithra-warmup-pant
MP07,thorpe-track-pant
MP08,zeppelin-yoga-pant
MP09,livingston-all-purpose-tight
MP10,orestes-yoga-pant
MP11,aether-gym-pant
MP12,cronus-yoga-pant
MSH01,cobalt-cooltech-trade-fitness-short
MSH02,apollo-running-short
MSH03,meteor-workout-short
MSH04,torque-power-short
MSH05,hawkeye-yoga-short
MSH06,lono-yoga-short
MSH07,rapha-sports-short
MSH08,orestes-fitness-short
MSH09,troy-yoga-short
MSH10,sol-active-short
MSH11,arcadio-gym-short
MSH12,pierce-gym-short
WH01,mona-pullover-hoodlie
WH02,hera-pullover-hoodie
WH03,autumn-pullie
WH04,miko-pullover-hoodie
WH05,selene-yoga-hoodie
WH06,daphne-full-zip-hoodie
WH07,phoebe-zipper-sweatshirt
WH08,cassia-funnel-sweatshirt
WH09,ariel-roll-sleeve-sweatshirt
WH10,helena-hooded-fleece
WH11,eos-v-neck-hoodie
WH12,circe-hooded-ice-fleece
WJ01,stellar-solar-jacket
WJ02,josie-yoga-jacket
WJ03,augusta-pullover-jacket
WJ04,ingrid-running-jacket
WJ05,riona-full-zip-jacket
WJ07,inez-full-zip-jacket
WJ08,adrienne-trek-jacket
WJ09,jade-yoga-jacket
WJ10,nadia-elements-shell
WJ11,neve-studio-dance-jacket
WJ06,juno-jacket
WJ12,olivia-1-4-zip-light-jacket
WS02,gabrielle-micro-sleeve-top
WS03,iris-workout-top
WS04,layla-tee
WS06,elisa-evercool-trade-tee
WS07,juliana-short-sleeve-tee
WS08,minerva-lumatech-trade-v-tee
WS09,tiffany-fitness-tee
WS10,karissa-v-neck-tee
WS11,diva-gym-tee
WS12,radiant-tee
WS01,gwyn-endurance-tee
WS05,desiree-fitness-tee
WB01,electra-bra-top
WB02,erica-evercool-sports-bra
WB03,celeste-sports-bra
WB04,prima-compete-bra-top
WB05,lucia-cross-fit-bra
WT01,bella-tank
WT02,zoe-tank
WT03,nora-practice-tank
WT04,nona-fitness-tank
WT05,leah-yoga-top
WT06,chloe-compete-tank
WT07,maya-tunic
WT08,antonia-racer-tank
WT09,breathe-easy-tank
WP01,karmen-yoga-pant
WP02,emma-leggings
WP03,ida-workout-parachute-pant
WP04,cora-parachute-pant
WP05,sahara-leggings
WP06,diana-tights
WP07,aeon-capri
WP08,bardot-capri
WP09,carina-basic-capri
WP10,daria-bikram-pant
WP11,sylvia-capri
WP12,deirdre-relaxed-fit-capri
WP13,portia-capri
WSH01,fiona-fitness-short
WSH02,maxima-drawstring-short
WSH03,gwen-drawstring-bike-short
WSH04,artemis-running-short
WSH05,bess-yoga-short
WSH06,angel-light-running-short
WSH07,echo-fit-compression-short
WSH08,sybil-running-short
WSH09,mimi-all-purpose-short
WSH10,ana-running-short
WSH11,ina-compression-short
WSH12,erika-running-short
